stage_sample,Helper T cells,Naïve T cells,NK cells,CD8+ T cells,Exhausted T cells,Regulator T cells,CD4+ T cells,stage
III&IV_P3,0.4467134652201659,24.033184428844926,0.0,0.15315890236119975,1.1104020421186982,0.06381620931716656,2.0931716656030632,III&IV
III&IV_P30,1.3477088948787062,4.716981132075472,0.0,0.0,1.752021563342318,0.0,9.029649595687331,III&IV
III&IV_P31,0.25839793281653745,7.493540051679586,0.0,0.0,0.5167958656330749,0.0,1.2919896640826873,III&IV
III&IV_P36,0.0,9.0,0.0,0.0,1.8,0.0,4.6,III&IV
III&IV_P37,0.08045052292839903,0.12067578439259855,0.08045052292839903,0.0,0.32180209171359614,0.0,1.0860820595333869,III&IV
III&IV_P4,0.39491004826678366,1.6673979815708644,0.10969723562966213,0.06581834137779728,3.6638876700307152,1.184730144800351,3.356735410267661,III&IV
III&IV_P40,5.108225108225108,1.2987012987012987,4.1558441558441555,0.08658008658008658,1.2121212121212122,1.4718614718614718,18.614718614718615,III&IV
III&IV_P41,0.35358405657344905,22.96689167470267,0.016072002571520413,0.06428801028608165,1.4786242365798778,0.016072002571520413,2.041144326583092,III&IV
III&IV_P6,0.5129849310676499,1.2183392112856686,0.0,0.0,0.7374158384097467,0.06412311638345623,4.039756332157743,III&IV
III&IV_P7,3.1055900621118013,1.2749264465511605,0.9807126511932004,0.8499509643674403,9.447531873161164,4.086302713305002,18.53546910755149,III&IV
II_2018jz4,3.4249662009914377,1.6674177557458314,0.5858494817485354,1.5772870662460567,1.1716989634970707,6.128886885984678,1.5772870662460567,II
II_AK2831,14.179608372721134,2.700877785280216,4.11883862255233,4.659014179608373,12.39027683997299,6.75219446320054,2.464550979068197,II
II_AK2833,13.522238163558105,2.4748923959827835,3.873744619799139,4.053084648493543,12.446197991391678,6.599713055954089,2.4031563845050217,II
II_AK2834,18.16208393632417,2.9184756391702846,5.354558610709117,7.959479015918958,12.51808972503618,6.777616980221901,3.3285094066570187,II
II_AK3272,0.0,10.635509936667395,0.0,0.021838829438742085,0.19654946494867875,0.04367765887748417,0.6333260537235205,II
II_AK3273,0.06323777403035413,10.56070826306914,0.0,0.0,0.21079258010118043,0.06323777403035413,0.8642495784148398,II
II_AK3274,0.04164931278633902,10.641399416909621,0.0,0.0,0.20824656393169513,0.06247396917950854,1.0412328196584757,II
II_AK4295,39.735099337748345,9.933774834437086,13.079470198675496,7.781456953642384,3.3112582781456954,5.132450331125828,1.6556291390728477,II
